Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A514903,RETURN,03/17/2025,STANLEY,DOG,1 YEAR 7 MONTHS,MED,WHITE / BROWN,AMERICAN STAFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514903&location=MONT,
A529402,OWNER SUR,03/25/2025,*CHIMERA,CAT,3 YEARS,MED,BRN TABBY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529402&location=MONT,
A528811,OWNER SUR,03/07/2025,FANCY,CAT,8 YEARS,MED,TORTIE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528811&location=MONT,
A529238,OWNER SUR,03/20/2025,DEUCE,DOG,1 YEAR 11 MONTHS,MED,BLACK / WHITE,AM PIT BULL TER / CANE CORSO,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529238&location=MONT,
A473367,RETURN,01/28/2025,TIGER LILY,DOG,5 YEARS,MED,BLACK / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A473367&location=MONT,
A527693,STRAY,01/25/2025,*JELLO,DOG,3 YEARS,LARGE,BRINDLE / BROWN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527693&location=MONT,"11500 LOCKWOOD DR, SILVER SPRING MD 20904"
A528549,STRAY,02/25/2025,*OFFSET,DOG,7 YEARS,MED,BLACK / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528549&location=MONT,"6700 WISCONSIN AVE, CHEVY CHASE MD 20815"
A529199,STRAY,03/19/2025,*OVECHKIN,OTHER,2 YEARS,MED,BROWN,RABBIT SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529199&location=MONT,"122100 BRITTANIA CIR, GERMANTOWN MD 20874"
A526688,STRAY,12/18/2024,*MARCH,DOG,2 YEARS,LARGE,BROWN,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526688&location=MONT,"4200 ROUND HILL RD, SILVER SPRING MD 20906"
A528032,STRAY,02/05/2025,*YUKI,DOG,2 YEARS,LARGE,WHITE,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528032&location=MONT,"4600 FALCON ST, ROCKVILLE MD 20853"
A529084,STRAY,03/16/2025,*TINY BUN,OTHER,14 WEEKS,SMALL,WHITE / BLACK,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529084&location=MONT,"10700 LESTER ST, SILVER SPRING MD 20902"
A528739,STRAY,03/03/2025,*DELILAH,DOG,3 YEARS,LARGE,GRAY / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528739&location=MONT,"20400 HIGHLAND HALL DR, MONTGOMERY VILLAGE MD 20886"
A526414,STRAY,12/09/2024,*MIDNIGHT,DOG,1 YEAR 3 MONTHS,LARGE,BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526414&location=MONT,"12400 GREAT PARK CIR, GERMANTOWN MD 20876"
A529059,STRAY,03/15/2025,*ASTERISK,OTHER,2 YEARS,MED,TORTIE / BLACK,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529059&location=MONT,"600 BUCKINGHAM DR, SILVER SPRING MD 20901"
A524293,OWNER SUR,10/05/2024,*CAREN,OTHER,6 YEARS,SMALL,BROWN,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524293&location=MONT,
